availability,stress,stress_sensitive
0,1.00,1.00
10,1.00,1.00
20,1.00,1.00
30,1.00,1.00
40,1.00,1.00
50,0.98,1.00
60,0.92,1.00
70,0.80,1.00
80,0.70,0.98
90,0.50,0.96
100,0.30,0.90
110,0.10,0.80
120,0.05,0.60
130,0.03,0.40
140,0.01,0.20
150,0.00,0.09
160,0.00,0.04
170,0.00,0.01
180,0.00,0.00
190,0.01,0.00
200,0.03,0.00
210,0.06,0.01
220,0.10,0.05
230,0.15,0.10
240,0.20,0.20
250,0.25,0.30
260,0.35,0.40
270,0.65,0.60
280,0.95,0.80
290,0.98,0.95
300,1.00,0.98
310,1.00,1.00
