time,c_air,c_soil,c_veg,co2_ppm,p00_type,p00_stage,p00_stress,p01_type,p01_stage,p01_stress,p02_type,p02_stage,p02_stress,p03_type,p03_stage,p03_stress,p04_type,p04_stage,p04_stress,p05_type,p05_stage,p05_stress,p10_type,p10_stage,p10_stress,p11_type,p11_stage,p11_stress,p12_type,p12_stage,p12_stress,p13_type,p13_stage,p13_stress,p14_type,p14_stage,p14_stress,p15_type,p15_stage,p15_stress,p20_type,p20_stage,p20_stress,p21_type,p21_stage,p21_stress,p22_type,p22_stage,p22_stress,p23_type,p23_stage,p23_stress,p24_type,p24_stage,p24_stress,p25_type,p25_stage,p25_stress,p30_type,p30_stage,p30_stress,p31_type,p31_stage,p31_stress,p32_type,p32_stage,p32_stress,p33_type,p33_stage,p33_stress,p34_type,p34_stage,p34_stress,p35_type,p35_stage,p35_stress,p40_type,p40_stage,p40_stress,p41_type,p41_stage,p41_stress,p42_type,p42_stage,p42_stress,p43_type,p43_stage,p43_stress,p44_type,p44_stage,p44_stress,p45_type,p45_stage,p45_stress,p50_type,p50_stage,p50_stress,p51_type,p51_stage,p51_stress,p52_type,p52_stage,p52_stress,p53_type,p53_stage,p53_stress,p54_type,p54_stage,p54_stress,p55_type,p55_stage,p55_stress
100,532960297132203485.03,1920376875232174007.22,246662827635622507.75,237.02,O,0,0,C,6,3.0016000000000007,C,5,0.0101,C,6,5.000600000000001,C,5,0.01,O,0,0,O,0,0,O,0,0,C,6,4.041,C,6,3.0016999999999996,C,6,5.000600000000001,C,5,0.01,O,0,0,C,6,3.0016000000000007,C,6,1.0911,C,6,5.000600000000001,C,6,5.000600000000001,C,5,0.01,C,6,5.000600000000001,C,6,4.0006,C,6,6.000499999999999,C,5,0.0706,O,0,0,C,6,6.000399999999999,C,5,0.01,C,5,0.01,C,6,3.0016999999999996,C,6,5.000600000000001,C,6,4.0006,O,0,0,C,6,3.0016999999999996,C,6,6.0113,C,6,4.0006,C,5,0.01,O,0,0,O,0,0
101,555574205454071057.03,1903224369000399016.46,241201425545529926.51,247.08,O,0,0,C,6,3.001700000000001,C,6,1.0202,O,0,0,C,6,0,O,0,0,O,0,0,O,0,0,C,6,5.0411,C,6,3.0018,O,0,0,C,6,0,O,0,0,C,6,3.001700000000001,C,6,2.0911999999999997,O,0,0,O,0,0,C,6,0,O,0,0,C,6,4.0007,O,0,0,C,6,1.0807,O,0,0,C,6,6.000499999999999,C,6,0,C,6,0,C,6,3.0018,O,0,0,C,6,4.0007,O,0,0,C,6,3.0018,C,6,7.0114,C,6,4.0007,C,6,0,O,0,0,O,0,0
102,651536097027112626.68,1831373306485616527.01,217090596487270846.31,289.75,O,0,0,C,6,4.803230000000002,C,6,1.03838,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,8.678090000000001,O,0,0,O,0,0,C,6,1,O,0,0,C,6,4.803230000000002,C,6,3.0732799999999996,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,1.15333,O,0,0,O,0,0,C,6,1,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,12.42166,O,0,0,C,6,1,O,0,0,O,0,0
103,744045415791568409.12,1762320644697330276.78,193633939511101314.10,330.89,O,0,0,O,0,0,C,6,1.0729220000000002,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,15.588371000000002,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,C,6,4.939231999999999,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,1.291327,O,0,0,O,0,0,C,6,1,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0
104,832961686558185352.77,1695818701731719910.17,171219611710094737.06,370.44,O,0,0,O,0,0,C,6,1.1385518000000003,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,28.717904900000004,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,C,6,8.484540799999998,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,1.5535212999999999,O,0,0,O,0,0,C,6,1,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0
105,919084875720246661.03,1632109840370665178.95,148805283909088160.02,408.74,O,0,0,O,0,0,C,6,1.2632484200000007,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,53.66401931000001,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,C,6,15.220627519999997,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,2.0516904699999996,O,0,0,O,0,0,C,6,1,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0
106,1002053783510223678.62,1570835372921306605.48,127110843568469715.89,445.64,O,0,0,O,0,0,C,6,1.5001719980000012,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,C,6,28.019192287999996,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,2.9982118929999992,O,0,0,O,0,0,C,6,1,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0
107,1081686719799518364.56,1511749827374602273.46,106563452825879361.97,481.05,O,0,0,O,0,0,C,6,1.9503267962000024,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,C,6,52.33646534719999,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,4.796602596699999,O,0,0,O,0,0,C,6,1,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0
108,1158838063175851468.56,1455145874740859523.38,86016062083289008.05,515.36,O,0,0,O,0,0,C,6,2.8056209127800047,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,C,6,98.53928415967998,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,8.213544933729999,O,0,0,O,0,0,C,6,1,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0
109,1233612040541567377.05,1400919288117733968.81,65468671340698654.13,548.61,O,0,0,O,0,0,C,6,4.430679734282009,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,C,6,186.32463990339198,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,14.705735374086998,O,0,0,O,0,0,C,6,1,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0
110,1306108501269112012.26,1348970218132779687.53,44921280598108300.21,580.86,O,0,0,O,0,0,C,6,7.518291495135817,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,C,6,353.1168158164448,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,27.040897210765298,O,0,0,O,0,0,C,6,1,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0
111,1375869885682740373.43,1298923946178985257.63,25206168138274368.93,611.88,O,0,0,O,0,0,C,6,13.384753840758053,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,C,6,50.47770470045407,O,0,0,O,0,0,C,6,1,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0
112,1441499325900127072.70,1249955607929206980.84,8545066170665946.45,641.07,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,C,6,1,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,C,6,1,O,0,0,O,0,0
113,1499677366916795448.24,1200322633083204593.31,-41.55,666.94,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
114,1550090917506290041.16,1149909082493710000.39,-41.55,689.36,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
115,1598387098971025861.17,1101612901028974180.37,-41.55,710.84,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
116,1644654840814242776.75,1055345159185757264.80,-41.55,731.41,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
117,1688979337500044581.87,1011020662499955459.68,-41.55,751.13,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
118,1731442205325042711.18,968557794674957330.37,-41.55,770.01,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
119,1772121632701390919.05,927878367298609122.49,-41.55,788.10,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
120,1811092524127932502.20,888907475872067539.35,-41.55,805.43,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
121,1848426638114559338.85,851573361885440702.70,-41.55,822.04,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
122,1884192719313747848.36,815807280686252193.18,-41.55,837.94,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
123,1918456625102570440.48,781543374897429601.07,-41.55,853.18,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
124,1951281446848262483.72,748718553151737557.82,-41.55,867.78,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
125,1982727626080635461.15,717272373919364580.40,-41.55,881.76,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
126,2012853065785248773.53,687146934214751268.02,-41.55,895.16,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
127,2041713237022268326.78,658286762977731714.76,-41.55,908.00,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
128,2069361281067333058.80,630638718932666982.74,-41.55,920.29,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
129,2095848107262505072.08,604151892737494969.47,-41.55,932.07,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
130,2121222486757479860.80,578777513242520180.75,-41.55,943.35,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
131,2145531142313665708.39,554468857686334333.16,-41.55,954.17,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
132,2168818834336491750.38,531181165663508291.17,-41.55,964.52,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
133,2191128443294359098.61,508871556705640942.94,-41.55,974.44,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
134,2212501048675996018.21,487498951324004023.33,-41.55,983.95,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
135,2232976004631604187.19,467023995368395854.35,-41.55,993.05,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
136,2252591012437076813.07,447408987562923228.47,-41.55,1001.78,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
137,2271382189914719588.67,428617810085280452.87,-41.55,1010.13,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
138,2289384137938301367.69,410615862061698673.85,-41.55,1018.14,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
139,2306630004144892711.99,393369995855107329.55,-41.55,1025.81,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
140,2323151543970807219.83,376848456029192821.71,-41.55,1033.16,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
141,2338979179124033318.35,361020820875966723.20,-41.55,1040.20,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
142,2354142053600823920.72,345857946399176120.82,-41.55,1046.94,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
143,2368668087349589317.80,331331912650410723.75,-41.55,1053.40,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
144,2382584027680906568.19,317415972319093473.35,-41.55,1059.59,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
145,2395915498518308494.07,304084501481691547.47,-41.55,1065.52,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
146,2408687047580539539.07,291312952419460502.48,-41.55,1071.20,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
147,2420922191582156880.17,279077808417843161.37,-41.55,1076.64,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
148,2432643459535706292.95,267356540464293748.60,-41.55,1081.85,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
149,2443872434235206630.39,256127565764793411.16,-41.55,1086.84,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
150,2454629791997327953.66,245370208002672087.89,-41.55,1091.63,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
151,2464935340733440181.35,235064659266559860.20,-41.55,1096.21,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0,O,0,0
